vectorized_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.282, Time: 0.529685 s
         7100336 function calls (6730662 primitive calls) in 6.639 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:24(extract_version)
        1    0.000    0.000    0.005    0.005 __init__.py:240(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
       84    0.000    0.000    0.001    0.000 __init__.py:244(make_alias)
      138    0.000    0.000    0.000    0.000 __init__.py:247(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
      138    0.000    0.000    0.000    0.000 __init__.py:259(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       12    0.000    0.000    0.000    0.000 __init__.py:264(get_aliased_and_aliases)
       57    0.000    0.000    0.000    0.000 __init__.py:265(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:27(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:273(<dictcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
      198    0.001    0.000    0.001    0.000 __init__.py:290(__getattr__)
        2    0.000    0.000    0.001    0.001 __init__.py:299(loads)
        6    0.000    0.000    0.000    0.000 __init__.py:312(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:316(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
      105    0.005    0.000    0.012    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:330(EntryPoints)
      105    0.000    0.000    0.000    0.000 __init__.py:331(wrapper)
        2    0.000    0.000    0.017    0.008 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:346(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
 3538/834    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
        1    0.000    0.000    0.000    0.000 __init__.py:354(select)
        1    0.000    0.000    0.000    0.000 __init__.py:359(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        2    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
       87    0.000    0.000    0.002    0.000 __init__.py:379(_from_text_for)
      172    0.000    0.000    0.002    0.000 __init__.py:381(<genexpr>)
       87    0.000    0.000    0.000    0.000 __init__.py:383(_from_text)
        1    0.000    0.000    0.000    0.000 __init__.py:384(YAMLObjectMetaclass)
      250    0.000    0.000    0.001    0.000 __init__.py:384(__getattr__)
       87    0.000    0.000    0.000    0.000 __init__.py:387(_parse_groups)
        1    0.000    0.000    0.000    0.000 __init__.py:388(__init__)
      172    0.000    0.000    0.001    0.000 __init__.py:389(<genexpr>)
      250    0.001    0.000    0.001    0.000 __init__.py:391(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:395(Deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:399(YAMLObject)
        1    0.000    0.000    0.000    0.000 __init__.py:40(YAMLLoadWarning)
      520    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
       18    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
        1    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
       85    0.000    0.000    0.000    0.000 __init__.py:420(_make)
        3    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
       85    0.000    0.000    0.000    0.000 __init__.py:430(_replace)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
       18    0.000    0.000    0.000    0.000 __init__.py:438(<dictcomp>)
